department0,学校,table42,table45,table1,table36,table20,table62,table48,table46,table59,table24
department0,企业,table0,table14,table53,table29,table38,table46,table34,table31,table11,table65
department0,人才,table38,table29,table1,table42,table8,table24,table36,table45,table14,table44
department0,互联网,table36,table14,table45,table38,table1,table42,table0,table53,table46,table6
department0,幼儿园,table42,table20,table45,table62,table1,table40,table29,table48,table19,table44
department0,专利,table14,table29,table45,table62,table53,table6,table38,table0,table33,table51
department0,高新技术企业,table14,table29,table60,table59,table53,table62,table0,table45,table31,table12
department0,先进制造业,table29,table53,table14,table45,table0,table62,table46,table6,table42,table31
department1,企业,table0,table65,table46,table26,table64,table34,table53,table11,table40,table60
department1,婚姻,table1,table42,table45,table24,table3,table43,table40,table8,table44,table53
department1,死亡,table1,table45,table42,table60,table40,table49,table17,table11,table3,table53
department1,上市,table58,table60,table65,table31,table32,table49,table46,table26,table23,table64
department1,房屋,table43,table1,table54,table9,table40,table42,table7,table45,table55,table58
department1,社保,table1,table42,table45,table43,table7,table44,table46,table3,table36,table24
department1,工商,table46,table60,table0,table40,table11,table45,table53,table14,table35,table19
department1,黑名单,table26,table1,table60,table42,table11,table46,table35,table12,table45,table53
department1,行政处罚,table26,table53,table4,table40,table6,table0,table11,table60,table54,table46
department1,欠薪,table12,table1,table28,table10,table42,table43,table26,table0,table45,table60
department1,房屋信息,table43,table1,table42,table9,table54,table58,table45,table31,table23,table12
department1,纳税大户,table0,table46,table65,table53,table60,table31,table26,table43,table12,table64
department1,食品流通企业,table40,table1,table53,table60,table42,table45,table43,table4,table11,table35
department10,企业,table0,table31,table52,table60,table40,table41,table20,table65,table46,table21
department10,婚姻,table1,table42,table24,table45,table44,table20,table3,table8,table40,table56
department10,死亡,table1,table42,table45,table60,table17,table56,table20,table40,table7,table44
department10,上市,table31,table58,table60,table52,table23,table32,table61,table42,table10,table12
department10,房屋,table43,table25,table1,table55,table42,table58,table7,table54,table40,table16
department10,社保,table42,table1,table45,table43,table44,table7,table24,table3,table12,table22
department10,工商,table60,table0,table46,table40,table20,table45,table31,table61,table41,table35
department10,纳税大户,table0,table31,table60,table43,table65,table52,table41,table46,table12,table4
department29,学校,table20,table42,table45,table46,table60,table56,table58,table62,table48,table7
department29,婚姻,table42,table24,table1,table56,table45,table44,table63,table38,table20,table43
department29,死亡,table42,table56,table45,table17,table49,table11,table60,table58,table43,table26
department29,房屋,table43,table25,table42,table55,table58,table54,table28,table57,table9,table16
department29,人口,table42,table24,table45,table43,table56,table37,table7,table63,table38,table46
department29,社保,table42,table43,table44,table1,table45,table24,table38,table7,table36,table51
department29,户籍,table24,table42,table45,table38,table44,table1,table7,table20,table63,table46
department29,工商,table46,table60,table0,table11,table45,table37,table20,table31,table51,table61
department29,黑名单,table26,table42,table38,table60,table11,table36,table32,table45,table49,table12
department29,行政处罚,table26,table33,table60,table11,table17,table4,table39,table30,table27,table67
department29,出租屋,table42,table43,table45,table1,table46,table40,table58,table11,table7,table56
department29,常住人口,table42,table45,table24,table56,table43,table37,table46,table38,table9,table44
department29,门牌,table45,table42,table43,table1,table19,table35,table62,table24,table20,table56
department29,房屋信息,table43,table9,table42,table54,table31,table45,table55,table12,table57,table58
department29,纳税大户,table0,table65,table46,table31,table37,table60,table67,table43,table51,table53
